GDC_UUID	CGC_path	sample_type	disease
C543A527-3E25-4389-9722-E9325C733243	/Datasets/tcga/TCGA-LGG/799e9106-e62e-4681-8861-137f474ee8b8/analysis/fc67779c-210a-4f80-9184-697d5cfe1cc9/data/UNCID_2187368.71fddbd0-c910-40f0-80fb-09148065220b.120910_UNC10-SN254_0377_BD14K4ACXX_6_ATCACG.tar.gz	Primary Tumor	Brain Lower Grade Glioma
8E47D178-8309-4A01-9BA7-5A48615158CA	/Datasets/tcga/TCGA-BRCA/791c5768-f0f5-4ab6-86eb-998e5c4b49e3/analysis/3fb0f2a9-8c50-4df6-9159-995951a42f3b/data/UNCID_2206930.ec38c31b-def8-41cc-8656-57ce98f3faa7.110803_UNC15-SN850_0106_BD0DK2ABXX_7_CAGATC.tar.gz	Primary Tumor	Breast Invasive Carcinoma
60AFD798-AF56-41CC-9EA9-2F1CA1986886	/Datasets/tcga/TCGA-UCEC/38f9fe64-de79-498c-b3ca-1c83af0ed72a/analysis/8144f70d-e9a0-4a86-a570-dee9e4fd5b40/data/UNCID_2215623.dbe07c69-fd67-4dcd-b69d-6bdc4a85110c.100923_UNC4-RDR3001561_00026_FC_62HRKAAXX_3.tar.gz	Primary Tumor	Uterine Corpus Endometrial Carcinoma
62E16838-7D5D-4B10-9599-0E2DF135B1CE	/Datasets/tcga/TCGA-UCEC/73a0dd38-115d-48fb-b683-04aa5d612f2a/analysis/974ce887-f6bf-4aa8-b69d-b9f6e5e3e5bc/data/UNCID_2209913.e500f620-089f-4e15-ba8c-25c91e88e7e2.110420_UNC2-RDR300275_00063_FC_634Y8AAXX_8.tar.gz	Primary Tumor	Uterine Corpus Endometrial Carcinoma
C29A10D6-D598-4286-B5E0-F1776E19E988	/Datasets/tcga/TCGA-ESCA/f8dbab24-b9f4-4b8a-bfea-57856ccf6364/analysis/3b6f355d-91d7-4e66-ab62-607ea6c5165f/data/TCGA-IG-A51D-01A-11R-A36D-31_rnaseq_fastq.tar	Primary Tumor	Esophageal Carcinoma
8556501D-640A-4681-B5FB-716DEC14F7BE	/Datasets/tcga/TCGA-OV/260723bf-9620-450d-bf31-f3a45543f9db/analysis/0d13688b-c61d-43d9-94ef-12b82dd7ef24/data/TCGA-OY-A56P-01A-12R-A406-31_rnaseq_fastq.tar	Primary Tumor	Ovarian Serous Cystadenocarcinoma
B5029B18-8CAF-4FE6-B888-DC7F34BD990E	/Datasets/tcga/TCGA-LUSC/38007506-4865-41d4-83a9-1aa13648f459/analysis/ed8754c9-2a68-4f0e-8123-86d929c09686/data/UNCID_2195464.659acaaf-d086-4066-8d30-7e33de4b8825.120305_UNC16-SN851_0133_AC0JB6ACXX_8_TGACCA.tar.gz	Primary Tumor	Lung Squamous Cell Carcinoma
FCEE7969-ABFA-4898-ACFB-194E82661A3C	/Datasets/tcga/TCGA-BLCA/4570b6e2-d430-41ca-aab1-ce4d14c36463/analysis/bc660c6e-4d75-4cc8-9fe7-24b41a6c9fe2/data/UNCID_2188085.D692892D-D63B-4AC2-9627-AE255AB17CAB.120724_UNC14-SN744_0249_AC0T3HACXX_5_GATCAG.tar.gz	Primary Tumor	Bladder Urothelial Carcinoma
A0DF05EB-DC44-4492-9A8A-F278F7B0C266	/Datasets/tcga/TCGA-CESC/0fec73a1-8d3a-495b-8008-c52f190f4270/analysis/1133bc9d-61e2-420d-a4e6-8c3b61154303/data/UNCID_2187309.f301f3e6-eaec-4d35-b8c0-b0eb6acd2847.120917_UNC11-SN627_0251_AC119PACXX_6_AGTTCC.tar.gz	Primary Tumor	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma
8EF055B3-5C39-4B69-8857-CC498C1BCAE8	/Datasets/tcga/TCGA-STAD/152b9d8a-19fd-4665-b9e4-4fedfb1608cd/analysis/1bb62c53-80d4-4883-90f9-eb0cbd872945/data/TCGA-CD-5813-01A-11R-1602-13_rnaseq_fastq.tar	Primary Tumor	Stomach Adenocarcinoma
