min seqc samples	junctions	magic junctions	rmake junctions	subread junctions	exactly one of {magic, rmake, subread} junctions	exactly two of {magic, rmake, subread} junctions	all three of {magic, rmake, subread} junctions
1336	117403	113629	117010	115975	223	4474	112481
1335	117501	113724	117108	116072	223	4478	112575
1334	117612	113829	117219	116183	223	4484	112680
1333	117713	113926	117318	116282	223	4486	112777
1332	117815	114026	117419	116382	223	4488	112876
1331	117926	114135	117530	116493	223	4490	112985
1330	118037	114243	117641	116603	223	4494	113092
1329	118136	114339	117740	116702	223	4497	113188
1328	118242	114441	117846	116807	224	4500	113290
1327	118358	114551	117962	116921	225	4506	113399
1326	118474	114666	118078	117034	225	4510	113511
1325	118559	114748	118163	117116	226	4514	113591
1324	118655	114843	118259	117210	226	4517	113684
1323	118766	114951	118370	117320	226	4521	113791
1322	118858	115039	118461	117410	227	4526	113877
1321	118964	115140	118566	117514	229	4530	113977
1320	119067	115237	118667	117614	229	4535	114073
1319	119182	115347	118782	117726	229	4543	114180
1318	119270	115431	118870	117814	229	4547	114264
1317	119377	115530	118975	117917	230	4556	114360
1316	119466	115615	119064	118003	230	4563	114442
1315	119572	115718	119169	118104	231	4570	114540
1314	119672	115815	119269	118202	232	4573	114636
1313	119784	115923	119381	118313	232	4578	114743
1312	119885	116022	119482	118412	233	4580	114841
1311	119974	116108	119571	118501	233	4583	114927
1310	120101	116230	119698	118624	235	4588	115047
1309	120205	116330	119802	118726	235	4594	115145
1308	120304	116425	119900	118822	237	4598	115238
1307	120407	116526	120003	118921	237	4604	115335
1306	120527	116643	120123	119040	237	4608	115451
1305	120666	116777	120262	119179	237	4613	115585
1304	120758	116868	120354	119271	237	4614	115676
1303	120860	116967	120454	119371	238	4616	115774
1302	120983	117086	120576	119488	240	4623	115888
1301	121080	117179	120671	119582	241	4627	115979
1300	121185	117282	120776	119683	241	4633	116078
1299	121300	117395	120890	119798	242	4634	116191
1298	121419	117510	121009	119915	243	4638	116305
1297	121530	117619	121120	120026	243	4640	116414
1296	121629	117715	121218	120123	245	4642	116509
1295	121738	117821	121326	120231	245	4644	116615
1294	121859	117938	121447	120351	245	4649	116731
1293	121976	118052	121563	120466	246	4653	116843
1292	122094	118168	121679	120582	246	4656	116957
1291	122201	118273	121786	120687	246	4660	117060
1290	122321	118389	121903	120802	248	4662	117174
1289	122446	118510	122028	120926	248	4667	117294
1288	122570	118628	122151	121047	248	4674	117410
1287	122698	118751	122279	121174	248	4680	117532
1286	122810	118860	122391	121286	248	4683	117641
1285	122939	118986	122520	121415	248	4686	117767
1284	123064	119105	122644	121537	250	4692	117884
1283	123197	119228	122775	121667	251	4699	118007
1282	123313	119339	122891	121783	251	4704	118118
1281	123446	119466	123024	121915	251	4711	118244
1280	123576	119588	123153	122043	251	4719	118365
1279	123701	119705	123278	122167	252	4726	118482
1278	123833	119835	123409	122297	253	4729	118610
1277	123963	119960	123538	122423	254	4734	118733
1276	124099	120092	123673	122558	254	4737	118865
1275	124230	120219	123803	122686	254	4742	118990
1274	124349	120337	123921	122804	254	4742	119108
