sample index	project	sample	experiment	run	junctions	annotated_junctions	junctions_geq_5	annotated_junctions_geq_5	overlaps	annotated_overlaps
13229	SRP014320	SRS350178	SRX159826	SRR521495	193381	139952	97331	95211	4516809	4414631
13230	SRP017789	SRS383520	SRX215406	SRR645781	146522	106830	60599	57058	6622778	6496280
13231	SRP015670	SRS361841	SRX185658	SRR566257	57790	54404	11271	11216	261051	256453
13232	SRP003902	SRS118251	SRX029310	SRR070245	95	6	5	0	132	6
13233	SRP042161	SRS617685	SRX549778	SRR1295164	19	0	0	0	23	0
13234	SRP013232	SRS334168	SRX148575	SRR497885	167628	124187	77835	74608	6909348	6788532
13235	SRP033135	SRS504279	SRX379821	SRR1033131	25360	23301	15000	14494	304095	296080
13236	SRP033725	SRS513912	SRX390441	SRR1047844	191065	152007	92846	91244	3367039	3300060
13237	SRP008225	SRS261148	SRX097271	SRR345211	132218	115781	51312	50921	1124767	1100985
13238	SRP018256	SRS387930	SRX220373	SRR653423	2011	391	82	3	4885	570
13239	SRP042161	SRS617633	SRX549726	SRR1295112	23110	19126	12440	11968	186561	177323
13240	SRP042161	SRS617654	SRX549747	SRR1295133	29764	25431	16922	16300	302052	290058
13241	SRP008976	SRS267262	SRX101442	SRR353657	1353	1193	24	13	1991	1565
13242	ERP004269	ERS368742	ERX338761	ERR365991	180513	133283	90478	87607	6740745	6626168
13243	ERP003917	ERS349342	ERX315681	ERR342889	154356	128845	69660	69129	1511453	1474901
13244	SRP028738	SRS469354	SRX334037	SRR950880	1209	1101	12	5	1454	1281
13245	DRP000987	DRS005741	DRX005613	DRR006398	53169	47170	14601	14285	775369	757514
13246	SRP040236	SRS576519	SRX493862	SRR1197153	3962	3577	96	63	9155	5219
13247	SRP028912	SRS471487	SRX336856	SRR954238	51527	46198	4178	4085	112600	105580
13248	SRP042161	SRS617700	SRX549793	SRR1295179	12	0	0	0	13	0
13249	SRP028570	SRS467750	SRX332309	SRR948765	70361	62503	29291	28687	716466	697646
13250	SRP000941	SRS366520	SRX263873	SRR1220499	120110	100322	39112	38350	1393328	1343831
13251	SRP042161	SRS616969	SRX549216	SRR1294602	421	0	26	0	769	0
13252	SRP001540	SRS008933	SRX014640	SRR031920	40192	38157	5429	5370	130031	126020
13253	SRP029953	SRS480989	SRX351950	SRR1005607	2633	1260	275	186	7961	4152
13254	SRP003754	SRS352023	SRX171115	SRR527673	5049	4252	455	323	27727	16087
13255	SRP041471	SRS598102	SRX528197	SRR1264215	21995	21162	649	639	34013	32974
13256	SRP042161	SRS617369	SRX549522	SRR1294908	324	2	6	0	569	2
13257	SRP026126	SRS445923	SRX307065	SRR902954	140585	122905	55857	55620	983438	960534
13258	SRP006719	SRS192692	SRX061855	SRR201780	52817	49237	11955	11854	245668	239867
13259	SRP021193	SRS414570	SRX268784	SRR831041	28	11	4	0	108	11
13260	SRP006574	SRS190657	SRX059592	SRR191597	0	0	0	0	0	0
13261	ERP001942	ERS185214	ERX179680	ERR204910	153264	126360	80946	80013	3053245	2979455
13262	SRP025982	SRS442324	SRX302994	SRR897527	177622	150163	86170	85397	2158639	2114549
13263	SRP041736	SRS603483	SRX534766	SRR1275023	18350	17413	3544	3509	67016	65347
13264	SRP028336	SRS465436	SRX329371	SRR945193	95631	87157	28845	28492	1544243	1521789
13265	SRP028530	SRS467294	SRX332366	SRR948837	170062	140819	102312	98846	6124646	6026557
13266	SRP026126	SRS445971	SRX307112	SRR903298	112868	104345	31694	31580	566392	555207
13267	SRP007885	SRS258190	SRX092501	SRR332285	150124	118442	77914	76417	3012273	2935023
13268	SRP036848	SRS554897	SRX467232	SRR1164792	49489	47173	2363	2343	89841	87130
