min projects	junctions	annotated	exonskips	altstartend	novel	GTAG	annotated GTAG	GCAG	annotated GCAG	ATAC	annotated ATAC
1391	113546	113019	51	259	217	112253	111930	1029	957	264	132
1390	113707	113177	51	260	219	112413	112088	1030	957	264	132
1389	113859	113325	51	262	221	112561	112235	1034	958	264	132
1388	114002	113460	53	267	222	112701	112369	1036	959	265	132
1387	114142	113595	53	271	223	112838	112502	1039	961	265	132
1386	114292	113744	53	272	223	112986	112649	1041	963	265	132
1385	114432	113881	53	273	225	113120	112781	1047	968	265	132
1384	114569	114015	53	275	226	113255	112913	1049	970	265	132
1383	114751	114193	53	279	226	113435	113089	1051	972	265	132
1382	114914	114349	54	284	227	113594	113241	1055	976	265	132
1381	115065	114495	55	287	228	113742	113385	1058	978	265	132
1380	115212	114639	55	290	228	113887	113527	1060	980	265	132
1379	115370	114792	58	291	229	114040	113676	1065	984	265	132
1378	115506	114924	59	293	230	114175	113807	1066	985	265	132
1377	115643	115056	60	297	230	114308	113936	1070	988	265	132
1376	115796	115205	61	300	230	114457	114083	1074	990	265	132
1375	115938	115340	64	304	230	114599	114218	1074	990	265	132
1374	116079	115475	64	309	231	114737	114352	1076	991	266	132
1373	116233	115622	66	311	234	114885	114497	1081	993	267	132
1372	116398	115782	66	315	235	115048	114656	1083	994	267	132
1371	116545	115924	67	317	237	115194	114798	1084	994	267	132
1370	116680	116052	69	320	239	115325	114924	1088	996	267	132
1369	116836	116204	69	324	239	115479	115074	1090	998	267	132
1368	116998	116360	71	327	240	115638	115227	1092	1000	268	133
1367	117126	116485	71	329	241	115762	115349	1095	1003	269	133
1366	117285	116637	74	333	241	115920	115500	1096	1004	269	133
1365	117429	116778	74	336	241	116061	115638	1099	1007	269	133
1364	117611	116950	75	342	244	116237	115806	1104	1011	270	133
1363	117755	117087	78	344	246	116378	115941	1106	1013	271	133
